"user1"	"item1"	0
"user2"	"item1"	0
"user3"	"item1"	0
"user4"	"item1"	1
"user5"	"item1"	0
"user6"	"item1"	0
"user7"	"item1"	1
"user8"	"item1"	0
"user9"	"item1"	1
"user10"	"item1"	1
"user11"	"item1"	0
"user12"	"item1"	0
"user13"	"item1"	1
"user14"	"item1"	1
"user15"	"item1"	1
"user16"	"item1"	1
"user17"	"item1"	0
"user18"	"item1"	1
"user19"	"item1"	1
"user20"	"item1"	0
"user21"	"item1"	0
"user22"	"item1"	0
"user23"	"item1"	1
"user24"	"item1"	0
"user25"	"item1"	0
"user26"	"item1"	1
"user27"	"item1"	0
"user28"	"item1"	1
"user29"	"item1"	1
"user30"	"item1"	0
"user31"	"item1"	0
"user32"	"item1"	1
"user33"	"item1"	0
"user34"	"item1"	0
"user35"	"item1"	0
"user36"	"item1"	0
"user37"	"item1"	1
"user38"	"item1"	0
"user39"	"item1"	0
"user40"	"item1"	0
"user41"	"item1"	1
"user42"	"item1"	0
"user43"	"item1"	0
"user44"	"item1"	1
"user45"	"item1"	0
"user46"	"item1"	0
"user47"	"item1"	0
"user48"	"item1"	0
"user49"	"item1"	1
"user50"	"item1"	1
"user51"	"item1"	0
"user52"	"item1"	0
"user53"	"item1"	1
"user54"	"item1"	0
"user55"	"item1"	0
"user56"	"item1"	0
"user57"	"item1"	0
"user58"	"item1"	1
"user59"	"item1"	0
"user60"	"item1"	0
"user61"	"item1"	0
"user62"	"item1"	1
"user63"	"item1"	1
"user64"	"item1"	1
"user65"	"item1"	0
"user66"	"item1"	1
"user67"	"item1"	1
"user68"	"item1"	0
"user69"	"item1"	1
"user70"	"item1"	0
"user71"	"item1"	0
"user72"	"item1"	0
"user73"	"item1"	1
"user74"	"item1"	0
"user75"	"item1"	0
"user76"	"item1"	0
"user77"	"item1"	0
"user78"	"item1"	1
"user79"	"item1"	0
"user80"	"item1"	1
"user81"	"item1"	1
"user82"	"item1"	0
"user83"	"item1"	0
"user84"	"item1"	0
"user85"	"item1"	1
"user86"	"item1"	1
"user87"	"item1"	0
"user88"	"item1"	1
"user89"	"item1"	1
"user90"	"item1"	0
"user91"	"item1"	1
"user92"	"item1"	0
"user93"	"item1"	0
"user94"	"item1"	1
"user95"	"item1"	1
"user96"	"item1"	1
"user97"	"item1"	1
"user98"	"item1"	0
"user99"	"item1"	0
"user100"	"item1"	0
"user101"	"item1"	1
"user102"	"item1"	0
"user103"	"item1"	1
"user104"	"item1"	1
"user105"	"item1"	0
"user106"	"item1"	0
"user107"	"item1"	0
"user108"	"item1"	0
"user109"	"item1"	0
"user110"	"item1"	0
"user111"	"item1"	0
"user112"	"item1"	0
"user113"	"item1"	1
"user114"	"item1"	1
"user115"	"item1"	0
